config,workload,case,name,case_label,shape,case_key,status,cpu_cycles,hw_cycles,speedup,speedup_x100,mismatches,source
2x2,attention-benchmark,13,attention_q64_kv16_d8_v128_rng,Q64 KV16 D8 V128,q=64 kv=16 d=8 value=128 causal=0,q=64 kv=16 d=8 value=128 causal=0,PASS,43540856,2594728,16.780508785506612,1678,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,14,attention_q128_kv64_d16_v32_rng,Q128 KV64 D16 V32,q=128 kv=64 d=16 value=32 causal=0,q=128 kv=64 d=16 value=32 causal=0,PASS,116905160,8145026,14.352951113968206,1435,0,software/uartlog/atik_2x2/attn.txt
2x2,attention-benchmark,15,attention_q32_kv128_d128_v64_rng,Q32 KV128 D128 V64,q=32 kv=128 d=128 value=64 causal=0,q=32 kv=128 d=128 value=64 causal=0,PASS,481490182,50799698,9.478209535812594,948,0,software/uartlog/atik_2x2/attn.txt
2x2,vit,0,vit_l1_img32_p4_d64_h4_mlp128_cls10,S65 D64 H4 C10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,seq=65 patches=64 patch_dim=48 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 classes=10,PASS,168132371,22959409,7.3230269559638925,732,0,software/uartlog/atik_2x2/vit.txt
2x2,vit,1,vit_l1_img64_p8_gray_d128_h4_mlp128_cls10,S65 D128 H4 C10,seq=65 patches=64 patch_dim=64 d_model=128 heads=4 head_dim=32 hidden=128 layers=1 classes=10,seq=65 patches=64 patch_dim=64 d_model=128 heads=4 head_dim=32 hidden=128 layers=1 classes=10,PASS,472471305,66702305,7.083283028974786,708,0,software/uartlog/atik_2x2/vit.txt
2x2,vit,2,vit_l1_grid11_p_synth_d128_h4_mlp256_cls10,S122 D128 H4 C10,seq=122 patches=121 patch_dim=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 classes=10,seq=122 patches=121 patch_dim=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 classes=10,PASS,1650930459,196189516,8.414977989955386,841,0,software/uartlog/atik_2x2/vit.txt
2x2,tiny-bert,0,tinybert_l1_s64_d128_h4_ff256_cls2,S32 D64 H4 C2,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,seq=32 d_model=64 heads=4 head_dim=16 hidden=256 layers=1 vocab=512 classes=2,PASS,60362783,11778580,5.124792886748657,512,0,software/uartlog/atik_2x2/bert.txt
2x2,tiny-bert,1,tinybert_l1_s128_d128_h4_ff256_cls2,S64 D128 H4 C2,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,PASS,535371192,72831724,7.3507966391129225,735,0,software/uartlog/atik_2x2/bert.txt
2x2,tiny-bert,2,tinybert_l1_s128_d128_h4_ff256_cls2,S128 D128 H4 C2,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=512 classes=2,PASS,1768169043,202552283,8.729445142812832,873,0,software/uartlog/atik_2x2/bert.txt
2x2,tiny-bert,3,tinybert_l1_s128_d128_h4_ff256_cls2,S256 D256 H4 C2,seq=256 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,seq=256 d_model=256 heads=4 head_dim=64 hidden=256 layers=1 vocab=512 classes=2,PASS,20677070270,2179401075,9.487501179653222,949,0,software/uartlog/atik_2x2/bert.txt
2x2,gpt2-prefill,0,gpt2prefill_l1_s16_d64_h4_ff128_vocab128,S16 D64 H4 V128,seq=16 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,seq=16 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,PASS,16720349,4345582,3.847666204434757,385,0,software/uartlog/atik_2x2/gpt2prefill.txt
2x2,gpt2-prefill,1,gpt2prefill_l1_s16_d64_h4_ff128_vocab128,S32 D64 H4 V128,seq=32 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,seq=32 d_model=64 heads=4 head_dim=16 hidden=128 layers=1 vocab=128,PASS,41447837,9690823,4.2770192995992184,428,0,software/uartlog/atik_2x2/gpt2prefill.txt
2x2,gpt2-prefill,2,gpt2prefill_l1_s32_d128_h4_ff256_vocab256,S64 D128 H4 V256,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,seq=64 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,PASS,441137969,81226074,5.430989672109476,543,0,software/uartlog/atik_2x2/gpt2prefill.txt
2x2,gpt2-prefill,3,gpt2prefill_l1_s64_d128_h4_ff256_vocab256,S128 D128 H4 V256,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,seq=128 d_model=128 heads=4 head_dim=32 hidden=256 layers=1 vocab=256,PASS,1252887396,219405322,5.710378328926771,571,0,software/uartlog/atik_2x2/gpt2prefill.txt
4x4,matmul-benchmark,0,matmul_m2_n2_k2_rng,M2 N2 K2,M=2 N=2 K=2,M=2 N=2 K=2,PASS,778,203,3.832512315270936,383,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,1,matmul_m4_n4_k4_rng,M4 N4 K4,M=4 N=4 K=4,M=4 N=4 K=4,PASS,1547,322,4.804347826086956,480,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,2,matmul_m8_n8_k8_rng,M8 N8 K8,M=8 N=8 K=8,M=8 N=8 K=8,PASS,10124,1107,9.145438121047878,915,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,3,matmul_m16_n16_k16_rng,M16 N16 K16,M=16 N=16 K=16,M=16 N=16 K=16,PASS,75683,6835,11.07286027798098,1107,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,4,matmul_m32_n32_k32_rng,M32 N32 K32,M=32 N=32 K=32,M=32 N=32 K=32,PASS,580401,49225,11.790777044184866,1179,0,software/uartlog/atik_4x4/matmul.txt
4x4,matmul-benchmark,5,matmul_m16_n16_k64_rng,M16 N16 K64,M=16 N=16 K=64,M=16 N=16 K=64,PASS,285910,24585,11.62944885092536,1163,0,software/uartlog/atik_4x4/matmul.txt
